2026-06-12 00:07:15.757 [info] Starting Excalidraw MCP server...
2026-06-12 00:07:15.758 [debug] Connecting to transport...
2026-06-12 00:07:15.758 [info] Excalidraw MCP server running on stdio
2026-06-12 00:07:15.765 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.766 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.766 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.766 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.766 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.767 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.767 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.767 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.767 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.767 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.768 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.768 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.770 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.770 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.771 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.772 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
2026-06-12 00:07:15.773 [error] Uncaught exception: write EPIPE
